--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
018.007  000.072  000.072: require('vim.func')
018.087  000.077  000.077: require('vim.func._memoize')
018.105  000.430  000.166: require('vim.treesitter.query')
018.194  000.088  000.088: require('vim.treesitter._range')
018.206  000.662  000.143: require('vim.treesitter.languagetree')
018.209  000.765  000.102: require('vim.treesitter')
018.715  001.485  000.721: require('nvim-treesitter.parsers')
019.229  000.152  000.152: require('nvim-treesitter.compat')
019.501  000.176  000.176: require('nvim-treesitter.ts_utils')
019.503  000.273  000.097: require('nvim-treesitter.tsrange')
019.564  000.060  000.060: require('nvim-treesitter.caching')
019.569  000.657  000.172: require('nvim-treesitter.query')
019.576  000.784  000.127: require('nvim-treesitter.configs')
019.577  000.861  000.077: require('nvim-treesitter.info')
019.655  000.077  000.077: require('nvim-treesitter.shell_command_selectors')
019.666  002.619  000.118: require('nvim-treesitter.install')
019.762  000.095  000.095: require('nvim-treesitter.statusline')
019.870  000.107  000.107: require('nvim-treesitter.query_predicates')
019.872  003.059  000.238: require('nvim-treesitter')
019.953  000.079  000.079: require('vim.iter')
020.677  003.918  000.780: sourcing /Users/yuhribernardes/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
020.681  003.977  000.059: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
020.857  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
020.890  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
022.027  000.103  000.103: require('nvim-treesitter.indent')
022.149  000.075  000.075: require('nvim-treesitter.highlight')
022.563  000.096  000.096: sourcing /Users/yuhribernardes/.local/share/nvim/lazy/vim-visual-multi/autoload/vm/plugs.vim
022.781  000.078  000.078: sourcing /Users/yuhribernardes/.local/share/nvim/lazy/vim-visual-multi/autoload/vm/maps.vim
022.888  000.052  000.052: sourcing /Users/yuhribernardes/.local/share/nvim/lazy/vim-visual-multi/autoload/vm/maps/all.vim
023.365  001.115  000.889: sourcing /Users/yuhribernardes/.local/share/nvim/lazy/vim-visual-multi/plugin/visual-multi.vim
023.367  001.151  000.036: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
023.371  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
023.376  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
023.647  000.005  000.005: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
023.655  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
023.820  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
023.824  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
023.969  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
023.974  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
